icao24,r,t
400510,G-BYAH,B752
3946E3,F-GRXD,A319
4006B9,G-OMYA,A320
AAB812,N790AN,B772
7101E6,HZ-NSA,A310
A64240,N502KA,GLF5
400E59,G-EZAW,A319
4008B2,G-EUPR,A319
AB2855,N818NW,A333
400BFB,G-LDFM,C560
45A6CB,OY-IVK,F900
400992,G-OZBE,A321
A120FE,N172DZ,B763
394C13,F-GTAT,A321
40600F,G-EZTE,A320
400960,G-TTOE,A320
405B6A,G-EZDR,A319
400406,G-BNLG,B744
400972,G-MIDR,A320
40604B,G-FLBA,DH8D
4B187A,HB-JHA,A333
4CA798,EI-DTE,A320
4CA73F,EI-EBX,B738
4CA1B3,EI-DAD,B738
4CA563,EI-DPX,B738
A8E297,N67158,B762
4013B1,G-OZBU,A321
400B84,G-DBCF,A319
484045,PH-MCI,B763
400AA2,G-EZEJ,A319
405588,G-RIDA,AS55
40415F,G-RICO,AA5
400A8E,G-OOPX,A320
400923,G-VSHY,A346
4CA2AD,EI-DHZ,B738
4CA246,EI-DCP,B738
4009D8,G-EUUK,A320
A46DE9,N385AM,B763
40076A,G-MARA,A321
400947,G-RJXJ,E135
4CA211,EI-DEC,A320
4CA738,EI-EBO,B738
40076B,G-OJEG,A321
47834F,LN-RPM,B738
C050B5,C-GEOQ,B763
4CA2D8,EI-DLL,B738
4009BA,G-CELS,B733
4CA1F5,EI-DAY,B738
400A06,G-EZJV,B737
400437,G-LSAJ,B752
4CA769,EI-EFN,B738
40056F,G-BYAO,B752
400E4E,G-LSAC,B752
4006B5,G-TCBA,B752
4843F2,PH-BQO,B772
406037,G-IOOZ,A109
400DE0,G-RJXM,E145
4CA64E,EI-DYL,B738
4006B1,G-BYGA,B744
4911D5,CS-DNU,H25B
405EE0,G-EUYC,A320
896143,A6-EYJ,A332
400BDB,G-EZPG,A319
AA4195,N760AN,B772
400501,G-BYAD,B752
405906,G-CROO,C25A
C00A9B,C-FEAK,B738
400A66,G-MEDJ,A321
4CA73D,EI-EBV,B738
AB60E3,N832MH,B764
400846,G-RJXD,E145
401057,G-TAYC,GLF4
4CA63A,EI-DVG,A320
4B1839,HB-JEN,GLEX
400DB2,G-EZAO,A319
400934,G-EUPX,A319
484166,PH-BXN,B738
400DAD,G-EZAI,A319
400755,G-BYAY,B752
4007E2,G-FCLI,B752
3C48A4,D-ABED,B733
AA2A9F,N754TS,GLEX
400A7C,G-DBCC,A319
400599,G-BVKB,B735
400AFE,G-EUXF,A321
405F13,G-EZTC,A320
405457,G-EUUW,A320
4010FB,G-OASP,AS50
4CA2BF,EI-DLB,B738
40048E,G-BPED,B752
405E65,G-FBEN,E190
400A05,G-EZJW,B737
400D69,G-EZIZ,A319
400492,G-CELC,B733
402A17,G-OPSL,P32R
800165,VT-AIL,B772
400965,G-MEDG,A321
C051E2,C-GFAF,A333
